,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
0,7,12,11,8,5,8,2,11,8,4,7,3,6,6,7,3,14,10,8,14,9,12,10,8,6,7,4,3,9,7,7,4,9,10,7,9,5,10,7,5,10,8,7,3,9,6,5,5,8,7,4,5,8,5,3,2,7,6,8,9,5,5,4,7,5,7,6,4,12,5,2,4,6,7,6,8,8,7,7,8,13,9,9,4,9,8,8,4,7,7,4,6,4,8,13,5,8,8,10,9,5,14,11,9,6,9,7,4,4,8,9,7,9,6,3,8,9,9,13,7,6,10,8,7,7,8,7,13,8,9,3,12,6,7,9,5,4,4,4,5,12,5,9,13,12,10,6,7,5,6
1,5,9,5,4,5,7,7,10,11,3,5,10,5,4,6,8,9,8,9,8,11,7,7,3,12,4,4,7,9,8,5,7,12,3,4,8,7,7,7,8,5,6,12,8,4,5,5,6,7,4,5,7,7,14,5,3,5,4,2,9,4,5,11,4,6,10,9,7,6,5,6,6,11,5,6,4,5,8,5,6,7,6,9,5,4,6,2,5,8,3,6,11,7,6,7,6,11,9,4,8,10,8,7,6,7,12,8,7,5,3,4,5,8,2,11,8,7,6,8,4,12,6,6,11,7,8,8,5,10,7,3,4,4,7,7,10,9,10,8,8,6,10,6,4,8,8,5,5,9,6
2,6,10,12,9,8,11,8,8,4,15,16,8,7,10,10,10,7,5,9,7,6,9,14,13,9,5,10,11,7,9,9,7,8,9,9,7,12,8,7,15,5,9,7,8,8,10,6,7,9,9,2,9,9,8,9,4,9,3,9,4,5,5,11,10,9,3,6,5,9,6,3,7,6,7,5,6,8,9,7,5,8,8,6,9,8,5,7,6,3,9,8,7,7,9,8,7,2,7,14,7,9,8,8,9,7,9,5,10,9,5,7,6,8,11,10,8,8,9,12,13,12,8,7,8,8,7,7,8,8,4,9,12,6,6,7,9,8,8,7,5,8,10,7,5,8,6,6,10,5,5
3,4,4,7,4,5,4,2,7,6,4,3,3,4,6,5,7,5,2,3,8,3,5,10,7,6,9,4,3,5,1,5,4,6,6,7,8,10,6,4,7,6,8,13,6,9,5,3,5,4,6,8,8,8,15,4,7,5,12,4,3,6,5,6,7,6,7,7,4,4,8,11,4,5,2,7,4,5,7,8,6,2,4,5,5,2,7,2,10,6,6,5,6,4,5,8,6,6,3,7,11,5,2,5,10,6,8,1,11,7,3,3,8,10,4,4,8,7,3,4,7,7,5,4,10,7,9,4,3,3,8,13,8,7,3,3,4,5,4,4,4,7,9,10,7,8,6,5,4,3,7
4,6,3,6,7,4,7,5,6,8,3,6,7,5,6,3,5,4,7,10,7,3,6,5,2,9,6,3,7,5,4,8,3,4,5,3,6,6,4,3,7,7,8,11,4,6,4,6,5,4,8,5,7,4,4,3,11,2,3,5,8,4,4,2,3,7,4,4,3,4,5,8,12,6,2,4,3,9,3,8,3,4,4,7,14,3,11,5,3,1,3,5,6,6,5,5,15,5,9,5,3,5,5,3,11,2,4,5,9,4,10,6,6,7,5,2,7,5,5,4,4,9,3,5,6,9,5,8,10,5,6,5,3,2,3,5,4,4,6,4,10,3,2,11,4,3,11,7,8,7,3
5,3,3,4,2,4,4,5,4,5,3,9,7,5,4,4,3,5,6,7,4,4,4,6,2,5,6,4,9,6,7,4,2,7,3,10,7,5,6,8,6,5,5,10,4,12,4,5,4,5,6,4,6,7,7,5,4,4,6,5,6,7,3,2,8,5,9,4,5,7,6,5,4,6,3,3,10,4,4,8,2,5,3,3,1,2,5,5,6,5,2,6,8,3,4,4,8,6,9,6,2,3,3,5,7,6,8,11,7,4,4,7,2,3,5,4,2,4,5,5,2,6,3,3,2,11,8,6,5,5,5,3,8,2,5,9,2,7,6,5,6,4,5,2,8,3,7,7,3,5,2
6,8,9,12,6,7,7,12,8,4,7,9,5,11,5,6,13,11,10,7,7,13,14,9,10,16,11,11,9,13,15,11,13,8,10,2,8,6,18,9,9,13,5,12,7,20,6,10,14,10,12,5,7,9,8,12,7,4,10,2,17,6,15,13,4,10,11,3,4,12,7,6,5,8,7,9,6,12,16,3,7,13,8,8,8,8,9,4,15,3,16,9,10,13,5,4,15,15,8,10,9,9,5,6,10,5,9,11,11,18,5,11,9,5,11,7,9,8,11,14,9,3,7,12,10,16,7,13,6,13,19,8,11,8,5,11,6,14,18,4,8,5,6,6,7,7,5,5,8,4,6
7,6,5,14,6,8,9,12,6,6,6,3,6,5,7,10,6,10,12,9,10,4,5,6,4,7,9,5,4,9,9,5,5,10,6,6,4,6,4,5,8,6,3,8,8,4,8,3,5,10,6,6,7,6,4,7,9,11,9,6,6,9,7,8,7,9,7,11,9,5,7,9,7,7,7,8,7,8,9,13,10,12,10,8,5,5,9,6,6,3,5,5,7,3,5,8,4,14,7,6,4,9,7,5,4,8,7,5,6,7,3,8,10,5,5,12,9,5,6,5,6,11,5,3,8,8,5,11,6,7,5,5,7,6,12,7,8,2,8,3,11,6,4,5,4,4,9,4,3,3,8
8,3,3,5,3,4,2,6,3,5,5,6,5,8,6,4,7,3,4,4,5,6,8,4,3,3,5,8,6,5,9,4,8,4,4,8,2,2,5,3,3,6,5,4,7,6,6,5,7,5,2,5,3,8,3,8,7,5,4,3,6,4,3,4,6,8,3,3,5,6,4,4,4,4,11,10,6,4,4,6,6,4,5,3,5,5,6,4,3,7,7,2,4,4,6,5,10,5,6,1,4,8,4,3,5,11,5,8,4,2,6,8,10,8,6,8,10,2,8,4,5,6,6,4,11,3,6,9,4,4,2,5,4,6,5,3,7,6,2,3,4,3,7,3,3,4,4,7,6,5,6
9,4,4,3,3,3,3,1,3,2,3,5,5,4,4,4,6,4,4,10,8,4,7,3,7,5,6,4,5,3,7,5,5,5,5,3,8,4,10,6,3,4,5,6,4,3,11,2,8,3,8,5,4,7,6,4,6,5,5,7,6,3,5,2,4,5,6,5,4,7,3,1,9,3,2,5,7,5,7,5,5,4,12,6,4,8,8,4,9,5,9,6,3,4,4,5,3,4,8,5,4,6,7,5,5,2,9,5,5,9,6,3,6,7,6,2,4,2,5,5,2,5,2,8,4,5,6,6,6,5,8,6,5,4,6,3,4,10,6,4,8,8,8,4,5,4,6,1,6,3,4
