,Unnamed: 0,Date,Contest number,Word,Number of  reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X),Mean,Std,Skew,Kurt,entropy,text_rate,green_score,yellow_score,conbine_score,target
0,0,2022/1/7,202,slump,80630,1362,1,3,23,39,24,9,1,4.101010101,1.019951965,-0.088639277,-0.037099911,10025.87309,1.48E-06,0.369857081,0.219229104,0,1
1,1,2022/1/8,203,crank,101503,1763,1,5,23,31,24,14,2,4.163265306,1.149035776,-0.119727884,-0.524642896,11157.65889,3.31E-06,0.461671719,0.271113036,2.68,0
2,2,2022/1/9,204,gorge,91477,1913,1,3,13,27,30,22,4,4.541666667,1.135751098,-0.529608043,-0.125738838,10228.48837,1.85E-06,0.456907752,0.303161542,1.28,0
3,3,2022/1/10,205,query,107134,2242,1,4,16,30,30,17,2,4.37755102,1.129523162,-0.395754811,-0.251200084,9427.115202,6.03E-06,0.389346037,0.263837159,2.05,0
4,4,2022/1/11,206,drink,153880,3017,1,9,35,34,16,5,1,3.7,1.034408043,0.18973333,-0.182199319,10430.79935,2.74E-05,0.406669554,0.237592031,3.16,3
5,5,2022/1/12,207,favor,137586,3073,1,4,15,26,29,21,4,4.46875,1.172187458,-0.468124414,-0.339586462,10226.15271,4.23E-05,0.360329147,0.260372456,1.28,0
6,6,2022/1/13,208,abbey,132726,3345,1,2,13,29,31,20,3,4.53125,1.089276566,-0.491085552,0.003637657,9039.284968,2.02E-06,0.387180598,0.276223473,0.58,2
7,7,2022/1/14,209,tangy,169484,3985,1,4,21,30,24,15,5,4.231578947,1.146643905,-0.167265822,-0.492903564,10858.87272,1.66E-07,0.446080554,0.260805543,2.94,0
8,8,2022/1/15,210,panic,205880,4655,1,9,35,34,16,5,1,3.7,1.034408043,0.18973333,-0.182199319,10957.72293,7.38E-06,0.333910784,0.26487657,2.69,3
9,9,2022/1/16,211,solar,209609,4955,1,9,32,32,18,7,1,3.787878788,1.094270914,0.149420245,-0.384696451,12784.80611,1.80E-05,0.489389346,0.347249892,1.07,3
10,10,2022/1/17,212,shire,222197,5640,1,8,32,32,18,8,2,3.828282828,1.101334398,0.161521565,-0.388671001,12576.66067,1.21E-06,0.583369424,0.333650932,2.61,3
11,11,2022/1/18,213,proxy,220950,6206,1,2,11,24,31,26,6,4.684210526,1.116980496,-0.67013491,0.111120488,9196.570171,3.72E-06,0.440883499,0.214465136,0.73,2
12,12,2022/1/19,214,point,280622,7094,1,16,37,28,12,4,1,3.469387755,1.061420704,0.361741733,-0.22081898,11588.72205,0.00030763,0.485491555,0.267648332,3.47,3
13,13,2022/1/20,215,robot,243964,6589,1,8,29,34,20,8,1,3.88,1.097998179,0.05721941,-0.391083151,9629.185443,3.67E-06,0.357297531,0.295539193,0.73,3
14,14,2022/1/21,216,prick,273727,7409,1,8,30,33,19,7,1,3.836734694,1.085092656,0.087399206,-0.360363812,10151.63642,1.09E-06,0.405803378,0.226678216,1.43,3
15,15,2022/1/22,217,wince,241489,6850,1,3,17,33,29,15,3,4.336734694,1.087441085,-0.315916618,-0.164917003,10985.61143,4.04E-07,0.429623214,0.272152447,3.08,0
16,16,2022/1/23,218,crimp,269929,7630,1,5,28,38,20,7,1,3.929292929,1.027427161,0.029828582,-0.110411111,10432.42764,2.66E-07,0.370290169,0.235859679,0.73,1
17,17,2022/1/24,219,knoll,258038,8317,1,1,11,29,33,21,4,4.614583333,1.044527322,-0.55207314,0.276446031,8690.984513,5.93E-07,0.288869641,0.257080988,0.58,2
18,18,2022/1/25,220,sugar,276404,8708,1,6,25,34,23,9,1,4.010204082,1.09259939,-0.067135224,-0.355871414,11508.71367,3.89E-05,0.429190126,0.287223907,1.07,0
19,19,2022/1/26,221,whack,302348,10163,1,4,22,37,24,10,2,4.112244898,1.058326105,-0.121379699,-0.161144298,8844.329648,3.53E-07,0.344304894,0.194110005,0.93,1
20,20,2022/1/27,222,mount,331844,11451,1,9,29,33,19,7,1,3.826530612,1.097543734,0.06904791,-0.39948645,10939.04097,6.86E-06,0.427024686,0.245734083,1.91,3
21,21,2022/1/28,223,perky,296968,11148,1,4,17,30,27,17,4,4.34375,1.144080098,-0.323331653,-0.35833696,10198.09968,1.67E-07,0.417496752,0.270766566,2.05,0
22,22,2022/1/29,224,could,313220,11592,1,7,29,35,20,8,1,3.9,1.081665383,0.056892328,-0.327416174,10863.98559,0.000778275,0.399307059,0.242789086,1.66,3
23,23,2022/1/30,225,wrung,294687,11524,0,2,18,39,27,12,2,4.295918367,0.971104817,0.049200695,-0.539262891,9497.986165,1.01E-06,0.319185795,0.211346903,0.95,2
24,24,2022/1/31,226,light,341314,13347,1,10,25,27,19,12,5,3.946808511,1.223589255,0.031775178,-0.741965663,10332.71905,0.00019701,0.275443915,0.243568645,0.62,0
25,25,2022/2/1,227,those,351663,13606,1,13,34,30,15,6,1,3.636363636,1.105126214,0.259401343,-0.380877381,12220.28043,0.000636472,0.488956258,0.326288437,4.49,3
26,26,2022/2/2,228,moist,361908,14205,3,13,32,29,16,7,1,3.63,1.188738827,0.100722295,-0.405443076,11603.83835,7.16E-06,0.466002599,0.271632741,2.18,3
27,27,2022/2/3,229,shard,358176,14609,1,7,22,28,25,14,4,4.144329897,1.192672566,-0.170360756,-0.641541104,11526.98457,1.68E-07,0.469034214,0.287570377,2,0
28,28,2022/2/4,230,pleat,359679,14813,1,10,28,31,19,9,2,3.857142857,1.151751107,0.080145521,-0.547692308,12391.4654,9.97E-08,0.404071026,0.347769598,3.01,3
29,29,2022/2/5,231,aloft,319698,13708,1,4,22,36,25,11,2,4.141414141,1.073181817,-0.136086781,-0.230423005,11375.61488,1.82E-06,0.377219576,0.294673019,2.26,0
30,30,2022/2/6,232,skill,311018,13716,1,3,17,33,27,16,3,4.340206186,1.10188777,-0.285274917,-0.228625366,8996.47881,2.65E-05,0.414898224,0.2581204,0.58,0
31,31,2022/2/7,233,elder,288228,13340,1,3,13,24,30,24,5,4.589473684,1.156170966,-0.585947361,-0.15688375,10265.81511,8.04E-06,0.379818103,0.386834128,2.81,0
32,32,2022/2/8,234,frame,336236,15369,1,10,20,24,24,17,3,4.15625,1.28556185,-0.204627537,-0.865088277,11688.1899,3.80E-05,0.518839324,0.315894327,1.48,0
33,33,2022/2/9,235,humor,305372,13846,1,5,22,34,25,11,2,4.12244898,1.099770905,-0.151291111,-0.328626232,10439.54361,7.76E-06,0.285404937,0.244174967,1.28,0
34,34,2022/2/10,236,pause,304830,13480,1,8,26,32,21,10,2,3.959183673,1.142128047,-0.002327703,-0.513356136,12202.49554,8.90E-06,0.521004764,0.32083153,0.93,0
35,35,2022/2/11,237,ulcer,278826,10631,1,4,18,30,28,16,3,4.319587629,1.135612753,-0.31044267,-0.361142195,11734.2434,3.67E-06,0.354699004,0.327760936,2.7,0
36,36,2022/2/12,238,ultra,269885,9310,1,7,23,34,24,10,1,4.04040404,1.118433175,-0.122863784,-0.407909114,11694.17662,4.51E-06,0.24122997,0.327674318,0.69,0
37,37,2022/2/13,239,robin,277471,3249,1,6,29,34,21,8,1,3.929292929,1.075461144,0.043232895,-0.334093792,11095.02373,8.44E-07,0.315288003,0.274837591,3.16,3
38,38,2022/2/14,240,cynic,261521,10343,1,6,25,33,22,11,2,4.040816327,1.124117498,-0.037141409,-0.446363321,8406.049917,3.52E-07,0.236466003,0.226678215,0.7,0
39,39,2022/2/15,241,aroma,287836,10343,1,6,25,33,22,11,2,4.040816327,1.124117498,-0.037141409,-0.446363321,9849.428293,1.57E-06,0.338241663,0.339194456,2.92,0
40,40,2022/2/16,242,caulk,289721,10740,1,4,20,31,26,15,3,4.257731959,1.133176818,-0.219401488,-0.418723409,10563.36077,7.87E-08,0.407968818,0.246167173,0,0
41,41,2022/2/17,243,shake,342003,12767,1,6,16,23,24,21,9,4.384615385,1.255924254,-0.387183039,-0.654737165,11451.91447,8.94E-06,0.559549589,0.300563016,0.93,0
42,42,2022/2/18,244,dodge,265238,10220,1,3,15,29,27,19,7,4.436170213,1.135111867,-0.38756476,-0.268246491,9294.494969,7.42E-07,0.417063664,0.266695539,0,0
43,43,2022/2/19,245,swill,282327,11241,1,1,8,19,31,30,10,4.866666667,1.077032961,-0.907369558,0.702778879,9059.683938,1.58E-07,0.429623214,0.256734518,0.58,2
44,44,2022/2/20,246,tacit,273306,11094,1,4,21,32,26,14,3,4.224489796,1.120592156,-0.188443802,-0.399390114,10299.57301,1.92E-06,0.398440883,0.309917713,1.12,0
45,45,2022/2/21,247,other,278731,10887,1,9,26,30,21,10,2,3.93814433,1.164902836,0.002927788,-0.597763794,11654.90559,0.00139559,0.284538761,0.346123863,8.68,0
46,46,2022/2/22,248,thorn,306356,11814,1,14,38,30,12,4,0,3.505050505,1.038391699,0.338376717,-0.129367018,11654.98922,1.62E-06,0.35339974,0.28921611,4.84,3
47,47,2022/2/23,249,trove,277576,11411,1,5,16,24,25,22,8,4.430107527,1.230419541,-0.410254445,-0.57540868,11809.9353,3.11E-07,0.487656994,0.325768731,1.56,0
48,48,2022/2/24,250,bloke,250674,10405,1,6,21,32,25,12,2,4.134020619,1.136361221,-0.179817412,-0.433091988,10709.86158,4.67E-07,0.473365093,0.276223474,0,0
49,49,2022/2/25,251,vivid,255907,11687,1,2,10,29,33,21,4,4.604166667,1.06535564,-0.608704054,0.326189033,5762.034808,6.74E-06,0.246427025,0.176440018,0,2
50,50,2022/2/26,252,spill,248363,10087,1,5,26,34,22,10,2,4.030612245,1.092218129,-0.013621161,-0.357351759,9557.069504,3.12E-06,0.436985708,0.271546125,0.58,0
51,51,2022/2/27,253,chant,250413,10438,1,9,33,33,16,7,1,3.757575758,1.083306844,0.205833633,-0.287689098,11582.18089,1.85E-06,0.469034214,0.271892594,4.56,3
52,52,2022/2/28,254,choke,251094,10521,1,8,30,36,18,6,1,3.808080808,1.050990564,0.075358811,-0.223710519,10528.61479,1.70E-06,0.459939368,0.264616718,0.6,3
53,53,2022/3/1,255,rupee,240137,10577,1,2,17,35,30,13,2,4.326530612,1.037810787,-0.299509169,0.010222813,10144.93842,1.00E-06,0.470766566,0.36275444,0,2
54,54,2022/3/2,256,nasty,257304,10813,1,7,26,31,21,11,2,4,1.148733054,0,-0.537109375,11296.51336,2.70E-06,0.400173235,0.291814638,1.92,0
55,55,2022/3/3,257,mourn,240018,10465,1,8,29,34,19,8,1,3.868686869,1.097715393,0.078032605,-0.370380918,11001.79284,1.90E-06,0.359896059,0.260285837,1.41,3
56,56,2022/3/4,258,ahead,203730,9396,1,5,20,35,26,12,2,4.171717172,1.101334398,-0.206890486,-0.277986788,9740.439738,3.25E-05,0.320918146,0.343005631,3.76,0
57,57,2022/3/5,259,brine,229895,10405,1,9,25,29,22,12,3,4,1.195228609,-0.035856858,-0.68,12133.7491,2.64E-06,0.567345171,0.316154179,3.85,0
58,58,2022/3/6,260,cloth,218595,9911,1,8,33,34,17,7,1,3.79,1.070467188,0.180310845,-0.265497191,11158.65793,2.29E-05,0.39714162,0.265049805,3.56,3
59,59,2022/3/7,261,hoard,218595,9823,1,9,30,34,19,7,1,3.82,1.089770618,0.0827809,-0.37291895,11634.17829,1.19E-06,0.399307059,0.294932871,1.07,3
60,60,2022/3/8,262,sweet,207473,9767,1,5,18,31,28,15,2,4.275510204,1.140896642,-0.305651344,-0.365919678,9952.650327,2.81E-05,0.50108272,0.350887831,0,0
61,61,2022/3/9,263,month,201799,9435,1,5,26,37,22,8,1,3.98989899,1.049241665,-0.032330177,-0.193183559,10531.4022,0.000100888,0.346037246,0.238891294,6.36,1
62,62,2022/3/10,264,lapse,208884,9960,0,8,31,34,19,7,1,3.858585859,1.044563618,0.231372902,-0.524510912,12538.83486,5.16E-06,0.450844521,0.342485926,0.93,1
63,63,2022/3/11,265,watch,226349,12400,1,6,14,18,17,24,20,4.45,1.340708768,-0.422316221,-0.83133157,10169.15486,3.28E-05,0.339540927,0.23906453,2.09,0
64,64,2022/3/12,266,today,192049,9353,1,7,29,35,20,7,1,3.878787879,1.066218914,0.042516746,-0.291547156,11234.86686,9.12E-05,0.445647466,0.283585967,1.04,3
