,word,entropy
0,slump,8109.831110676154
1,crank,8983.654093328521
2,gorge,8130.279304697953
3,query,7303.648645364489
4,drink,8420.129081176676
5,favor,7993.319562954216
6,abbey,7074.131666688575
7,tangy,8686.2920714833
8,panic,8548.673303631056
9,solar,10110.816464221409
10,shire,10103.968000383682
11,proxy,7581.50112723032
12,point,9432.388406872755
13,robot,7633.716788250753
14,prick,8287.1730523286
15,wince,8789.489119499023
16,crimp,8348.135381856004
17,knoll,6901.236136455052
18,sugar,9092.886827555347
19,whack,7252.170326531976
20,mount,8876.326829911806
21,perky,8046.682693439474
22,could,8863.541057079621
23,wrung,7560.6886716082245
24,light,7994.452908547854
25,those,9664.964640615817
26,moist,9388.976573484419
27,shard,9288.012898723176
28,pleat,9403.946038806424
29,aloft,8827.483208617406
30,skill,7530.881367697967
31,elder,7939.814664784602
32,frame,9164.581428188993
33,humor,8020.676746359736
34,pause,9848.151687841346
35,ulcer,8914.384264002381
36,ultra,8630.071523688473
37,robin,8505.922484790257
38,cynic,6558.52306330772
39,aroma,7569.217801478633
40,caulk,8501.492744093885
41,shake,9388.220787508973
42,dodge,7661.417153434544
43,swill,7666.505690376046
44,tacit,8317.416700808328
45,other,8407.361438574146
46,thorn,9052.566750222752
47,trove,9133.162838780228
48,bloke,8732.88692575343
49,vivid,4942.3076778935365
50,spill,7942.527780455729
51,chant,9267.062306489943
52,choke,8601.65011596267
53,rupee,8225.201234745053
54,nasty,8680.997187474446
55,mourn,8676.651632273564
56,ahead,7531.213591144549
57,brine,9691.391873343247
58,cloth,8939.797999402052
59,hoard,9135.694326392933
60,sweet,8221.912587288878
61,month,8358.539046331567
62,lapse,9595.447926670317
63,watch,7965.494593624919
64,today,8992.002734464855
65,focus,7456.192906648626
66,smelt,9288.134236471702
67,tease,9383.094836649518
68,cater,9877.48373434358
69,movie,8587.00361618284
70,saute,10455.482237917611
71,allow,6940.427422739822
72,renew,7606.623899338012
73,their,9303.29759160617
74,slosh,8094.173208813994
75,purge,8751.060576108326
76,chest,8951.256399207128
77,depot,8750.789344816207
78,epoxy,6861.222048802095
79,nymph,6427.672742928982
80,found,8027.147295066259
81,shall,8414.949312713672
82,stove,8841.791346009373
83,lowly,6859.339914643345
84,snout,9243.732364126972
85,trope,9736.418311102472
86,fewer,7066.588998723237
87,shawl,8612.424347765234
88,natal,7977.880087024232
89,comma,6891.1460944640285
90,foray,8752.327506401443
91,scare,10128.474332255006
92,stair,9945.499993455433
93,black,8018.025475208305
94,squad,7371.479435615987
95,royal,8966.359117360898
96,chunk,7454.590924258249
97,mince,9108.581173289225
98,shame,9645.245596623878
99,cheek,7221.5433173635465
100,ample,8590.464918671356
101,flair,9260.203411496255
102,foyer,8637.272223143478
103,cargo,8755.442673235404
104,oxide,7655.317930542198
105,plant,9611.706266271656
106,olive,8766.036371739237
107,inert,9017.142629837357
108,askew,7088.565604165718
109,heist,9512.814670050318
110,shown,8128.1647521265895
111,zesty,7394.5477629415645
112,trash,9552.331125717265
113,larva,7019.931672399419
114,forgo,6621.842971528344
115,story,9248.419913352547
116,hairy,9333.548809602646
117,train,10009.978006338966
118,homer,8821.5431709016
119,badge,8644.963465398698
120,midst,8488.422768944863
121,canny,8060.493963270688
122,shine,10002.91558327276
123,gecko,7299.7820513247725
124,farce,9448.469451645311
125,slung,8508.185834737147
126,tipsy,8442.77024811254
127,metal,9032.912673488669
128,yield,8372.08118059492
129,delve,7315.712642001485
130,being,8218.105205574388
131,scour,8965.541462825098
132,glass,7630.046775099348
133,gamer,8865.050941373462
134,scrap,8618.488101642632
135,money,9068.784965515675
136,hinge,8649.856919623664
137,album,7482.152388159375
138,vouch,7485.968143175217
139,asset,8030.321771864439
140,tiara,8484.20943973981
141,crept,9184.76759849821
142,bayou,7786.701489981266
143,atoll,8096.372590657398
144,manor,9135.957580565122
145,creak,8753.945520011499
146,showy,8096.288473338285
147,peach,8936.344118488083
148,froth,8526.941387682149
149,depth,8109.414200817695
150,gloom,6961.358473085929
151,flood,7083.268642038872
152,trait,9145.224692285865
153,girth,8452.869999773446
154,piety,8866.47555989022
155,goose,8553.94031072348
156,float,9140.04699311187
157,donor,7842.580136390799
158,atone,9957.758880118403
159,primo,8410.051036936438
160,apron,8767.924353199449
161,blown,7737.176917740859
162,cacao,6612.710658122343
163,loser,9692.67387016155
164,input,7741.541026575478
165,gloat,9388.2190095163
166,awful,6976.867328567023
167,brink,8293.329947191345
168,smite,9690.500366237695
169,beady,8647.221610995732
170,rusty,8422.18718269257
171,retro,7906.47237090334
172,droll,8127.116514693456
173,gawky,6999.153031493399
174,hutch,6672.7066979507035
175,pinto,8359.056050900552
176,egret,7792.123386086927
177,lilac,7276.545422413945
178,sever,8007.156673340553
179,field,8276.420973418535
180,fluff,4898.227473396796
181,agape,7710.871048104128
182,voice,9124.382812817019
183,stead,9011.498161683106
184,berth,8609.705879537052
185,madam,5819.696083778741
186,night,7550.008522040952
187,bland,8720.905282074382
188,liver,8574.457447906543
189,wedge,6979.168253375169
190,roomy,7468.937441753844
191,wacky,7105.871471749228
192,flock,7601.527211386876
193,angry,8218.41069277907
194,trite,9155.532242421225
195,aphid,7611.7803673109065
196,tryst,7837.129873774878
197,midge,8285.485324667461
198,power,8519.753273930099
199,elope,8173.563257282779
200,cinch,7154.966027232164
201,motto,6093.73288640505
202,stomp,7995.808629410955
203,upset,8536.0301233466
204,bluff,5880.561899831696
205,cramp,8573.79898972162
206,quart,8160.041128300098
207,coyly,7532.753406131433
208,youth,8069.704582676036
209,rhyme,8163.589256570152
210,buggy,6132.34210938016
211,alien,10028.505216134414
212,smear,9288.186559066611
213,unfit,7619.637724540256
214,patty,7731.970328998593
215,cling,8390.426766811619
216,glean,8835.903614835634
217,label,7887.377693815759
218,hunky,7201.74950082479
219,khaki,6226.708685412428
220,poker,8526.143154629357
221,gruel,9246.997367739203
222,twice,9050.114719369398
223,twang,7885.276721334813
224,shrug,8138.346330308451
225,treat,8780.527660539625
226,waste,9138.077893639222
227,merit,9313.204827247278
228,woven,7803.568673218038
229,needy,7255.0318098126945
230,clown,8213.768613356728
231,irony,9079.578061187985
232,ruder,7755.842537077246
233,gauze,8165.459050567215
234,chief,8458.716918239901
235,onset,9191.489015737436
236,prize,8448.970815514222
237,fungi,6776.062823708717
238,charm,8505.004924915718
239,gully,7002.583083827222
240,inter,9021.7464206025
241,whoop,6298.584733361375
242,taunt,8484.84200853639
243,leery,8172.220151889878
244,class,8010.512871988012
245,theme,7754.662487960936
246,lofty,8088.982146020296
247,tibia,7185.569254233235
248,booze,6936.955927378055
249,alpha,6631.318579848995
250,thyme,8230.924033756812
251,doubt,8273.369171917631
252,parer,8533.133940936208
253,chute,9061.399128523952
254,stick,8287.418301637841
255,trice,10257.653973619059
256,alike,9404.189263274495
257,recap,8480.308152269577
258,saint,10380.015192481176
259,glory,8876.221818297865
260,grate,10031.467704971572
261,admit,8196.20914448618
262,brisk,8394.44223789451
263,soggy,7451.034194701987
264,usurp,6344.180316784569
265,scald,9061.79882700597
266,scorn,9131.128044683954
267,leave,8032.102493468794
268,twine,9085.076274108382
269,sting,8407.94843738745
270,bough,7704.693968857106
271,sloth,9399.46078574976
272,dandy,7384.826409745116
273,vigor,7721.227218833384
274,howdy,7159.0264201034515
275,enjoy,6849.826628679582
276,valid,8053.3428914541655
277,ionic,7077.124231184104
278,equal,7266.683984289017
279,floor,7742.071390418709
280,catch,7585.785126021845
281,spade,9524.648569664187
282,stein,9222.926553967935
283,exist,7922.428201122369
284,quirk,6934.768975597186
285,denim,8186.329355898623
286,grove,8533.200149558425
287,spiel,9706.08693188868
288,mummy,5170.996128782238
289,fault,8991.227165491222
290,foggy,6392.262619153732
291,flout,8599.249945876478
292,carry,8322.820045814256
293,sneak,8696.167386006073
294,libel,7696.852526205253
295,waltz,7020.033375180472
296,aptly,8389.448140651084
297,piney,9055.960858237155
298,inept,8307.202940759915
299,aloud,8811.584495379811
300,photo,7092.593410519431
301,dream,8650.82469263243
302,stale,10324.566301727442
303,begin,8050.93314146827
304,spell,7850.631873573724
305,rainy,9580.35172995826
306,unite,9313.65373884546
307,medal,8587.605713307634
308,valet,9090.170316868769
309,inane,8517.460643626917
310,maple,9154.83803210978
311,snarl,9931.826348314058
312,baker,8447.471238542254
313,there,8459.333739933627
314,glyph,7173.913024003903
315,avert,8493.025205289716
316,brave,8862.773030720035
317,axiom,7222.022934902902
318,prime,9314.588430920294
319,drive,8748.579438004934
320,feast,9530.213152651351
321,itchy,7086.742487672681
322,clean,9358.936556194942
323,happy,6767.114965550194
324,tepid,8507.232605831003
325,undue,7121.280287268249
326,study,8266.313691319856
327,eject,6375.321929783125
328,chafe,8915.481180766616
329,torso,8067.0066993279615
330,adore,9486.531557436756
331,woken,7871.973369111735
332,amber,8250.219008142187
333,joust,7861.293429355004
334,infer,8099.520500549201
335,braid,9074.883059603646
336,knock,6237.22549433415
337,naive,9007.537243085575
338,apply,6876.249492178953
339,spoke,8847.932362308484
340,usual,6972.8393551116515
341,rival,8310.287179730043
342,chord,8551.991086840524
343,taper,9553.80521664063
344,slate,10698.911896026988
345,third,8754.912957448723
346,lunar,9198.01380896669
347,excel,6260.192399162074
348,aorta,8174.330838398111
349,poise,10070.03599296214
350,extra,7196.087675865808
351,judge,6995.628540287904
352,condo,7191.285968065698
353,impel,8012.335350456465
354,havoc,7350.883403112353
355,molar,9236.96753685482
356,manly,8718.12666976193
