,Unnamed: 0,word,one,two,three,four,five,six,seven,False,convergence,correctness
0,0,aback,2,0,7,9,18,23,33,115,0.00018400331205961707,0.3390804597701149
1,1,abase,0,6,13,19,32,24,118,159,0.0004240076321373785,0.3715415019762846
2,2,abate,0,4,20,25,34,30,107,132,0.0004400079201425626,0.46122448979591835
3,3,abbey,0,1,15,19,23,29,36,127,0.00024600442807970544,0.40654205607476634
4,4,abbot,0,3,8,16,23,29,23,64,0.00020400367206609718,0.5524475524475524
5,5,abhor,0,2,8,14,21,18,34,59,0.00019400349206285714,0.5163934426229508
6,6,abide,0,2,15,28,37,38,95,99,0.0004300077401393225,0.547945205479452
7,7,abled,0,2,17,32,25,29,51,64,0.0003120056161010898,0.621301775147929
8,8,abode,0,3,12,38,34,32,107,94,0.0004520081361464506,0.5586854460093896
9,9,abort,0,5,14,25,36,25,89,87,0.0003880069841257143,0.546875
10,10,about,0,3,10,24,26,29,82,84,0.000348006264112754,0.5227272727272727
11,11,above,0,5,9,19,31,27,63,116,0.0003080055440997938,0.4396135265700483
12,12,abuse,1,2,13,27,37,34,108,105,0.0004440079921438586,0.5205479452054794
13,13,abyss,0,1,5,8,13,10,6,57,8.60015480278645e-05,0.39361702127659576
14,14,acorn,0,0,12,24,38,32,76,62,0.0003640065521179381,0.6309523809523809
15,15,acrid,0,3,13,24,30,26,45,52,0.00028200507609136964,0.6486486486486487
16,16,actor,0,1,11,18,33,33,61,56,0.00031400565210173786,0.631578947368421
17,17,acute,1,3,17,31,42,35,84,88,0.00042600766813802646,0.5944700460829493
18,18,adage,0,2,7,25,26,39,59,132,0.00031600568810238584,0.42857142857142855
19,19,adapt,0,2,9,18,24,33,21,98,0.00021400385206933725,0.4673913043478261
20,20,adept,0,2,12,29,20,24,52,66,0.0002780050040900736,0.5686274509803921
21,21,admin,0,1,8,20,15,18,36,60,0.00019600352806350515,0.5081967213114754
22,22,admit,0,1,10,22,36,25,52,57,0.0002920052560946097,0.6225165562913907
