,letter,one,two,three,four,five
0,a,0.060632308358596794,0.13165872672152448,0.1325249025552187,0.07016024252923343,0.02728453876136856
1,b,0.07492420961455175,0.006929406669553919,0.024252923343438718,0.01039411000433088,0.004763967085318319
2,c,0.08575140753572975,0.0173235166738848,0.024252923343438718,0.06496318752706799,0.013425725422260719
3,d,0.04807275877003032,0.0086617583369424,0.032481593763533996,0.02988306626245128,0.051104374187960155
4,e,0.031182330012992636,0.1043741879601559,0.07665656128194023,0.13772195755738414,0.18276310090948464
5,f,0.0584668687743612,0.0034647033347769596,0.010827197921177999,0.015158077089649198,0.01126028583802512
6,g,0.049805110437418795,0.004763967085318319,0.029016890428757037,0.03291468168038112,0.017756604590731917
7,h,0.02988306626245128,0.06236466002598527,0.0038977912516240795,0.012126461671719359,0.059333044608055434
8,i,0.014724989172802079,0.08705067128627111,0.11520138588133391,0.06842789086184495,0.004763967085318319
9,j,0.0086617583369424,0.0008661758336942399,0.00129926375054136,0.0008661758336942399,0.0
10,k,0.0086617583369424,0.0043308791684712,0.00519705500216544,0.023819835426591596,0.04893893460372455
11,l,0.037678648765699436,0.08661758336942399,0.048505846686877435,0.07016024252923343,0.0671286271113036
12,m,0.04634040710264184,0.01645734084019056,0.026418362927674317,0.029449978345604158,0.018189692507579038
13,n,0.01602425292334344,0.037678648765699436,0.059333044608055434,0.07882200086617583,0.056301429190125596
14,o,0.017756604590731917,0.12083152880034648,0.10524036379385016,0.05716760502381984,0.025119099177132957
15,p,0.06106539627544391,0.026418362927674317,0.02468601126028584,0.021654395842355997,0.024252923343438718
16,q,0.00996102208748376,0.0021654395842356,0.00043308791684711995,0.0,0.0
17,r,0.0454742312689476,0.11563447379818104,0.07059333044608056,0.06496318752706799,0.09181463837158943
18,s,0.15807708964919878,0.006929406669553919,0.0346470333477696,0.07405803378085751,0.015591165006496318
19,t,0.06453009961022088,0.03334776959722824,0.04807275877003032,0.060199220441749676,0.10957124296232135
20,u,0.01429190125595496,0.08012126461671719,0.07145950627977479,0.035513209181463834,0.00043308791684711995
21,v,0.01862278042442616,0.0064963187527068,0.02122130792550888,0.0194889562581204,0.0
22,w,0.035513209181463834,0.019055868341273277,0.01126028583802512,0.010827197921177999,0.0073624945864010395
23,x,0.0,0.006063230835859679,0.00519705500216544,0.00129926375054136,0.0034647033347769596
24,y,0.00259852750108272,0.009527934170636639,0.012559549588566478,0.00129926375054136,0.15764400173235166
25,z,0.00129926375054136,0.0008661758336942399,0.004763967085318319,0.0086617583369424,0.0017323516673884798
