word,freq
aback,9.348e-07
abase,9.21725e-08
abate,1.53374e-06
abbey,2.0241099999999997e-06
abbot,2.14039e-06
abhor,5.67927e-07
abide,4.3666799999999995e-06
abled,8.460739999999999e-08
abode,3.86656e-06
abort,5.94533e-07
about,0.000988835
above,0.000280052
abuse,2.57216e-05
abyss,1.76845e-06
acorn,4.88927e-07
acrid,7.0628e-07
actor,9.8911e-06
acute,2.6595e-05
adage,7.58717e-07
adapt,6.73097e-06
adept,1.40932e-06
admin,8.33169e-07
admit,2.56365e-05
adobe,8.260630000000001e-07
adopt,2.24539e-05
adore,1.3531999999999998e-06
adorn,1.4194599999999999e-06
adult,3.52473e-05
affix,9.154e-07
afire,3.11371e-07
afoot,6.98031e-07
afoul,2.8672599999999997e-07
after,0.000641221
again,0.000256395
agape,3.2565599999999996e-07
agate,6.007119999999999e-07
agent,6.0683e-05
agile,9.08594e-07
aging,7.96323e-06
aglow,2.92193e-07
agony,4.36667e-06
agree,5.30029e-05
ahead,3.24863e-05
aider,1.41782e-07
aisle,3.16939e-06
alarm,1.14353e-05
album,4.072569999999999e-06
alert,7.55286e-06
algae,3.79896e-06
alibi,9.16774e-07
alien,1.12379e-05
align,1.77463e-06
alike,1.63888e-05
alive,2.38421e-05
allay,1.01858e-06
alley,3.874e-06
allot,6.44939e-07
allow,7.48217e-05
alloy,9.96806e-06
aloft,1.8234699999999998e-06
alone,0.000105151
along,0.00017435
aloof,1.77211e-06
aloud,6.1261099999999995e-06
alpha,5.89135e-06
altar,9.083349999999998e-06
alter,1.53763e-05
amass,3.49268e-07
amaze,4.17525e-07
amber,2.25197e-06
amble,1.31578e-07
amend,2.76839e-05
amiss,1.4162999999999999e-06
amity,7.554859999999999e-07
among,0.000238145
ample,1.29066e-05
amply,3.34012e-06
amuse,1.77111e-06
angel,7.85529e-06
anger,1.72881e-05
angle,3.74126e-05
angry,1.64219e-05
angst,3.07226e-07
anime,1.5547699999999998e-07
ankle,3.6988199999999998e-06
annex,2.11973e-06
annoy,1.0086e-06
annul,1.02153e-06
anode,3.33907e-06
antic,1.77906e-07
anvil,9.900239999999999e-07
aorta,2.60591e-06
apart,3.68617e-05
aphid,8.290459999999999e-07
aping,1.2129799999999998e-07
apnea,6.95418e-07
apple,9.84371e-06
apply,7.94955e-05
apron,2.6294599999999997e-06
aptly,1.82041e-06
arbor,7.42178e-07
ardor,9.36819e-07
arena,5.1093599999999995e-06
argue,1.94294e-05
arise,2.81713e-05
armor,3.65403e-06
aroma,1.56541e-06
arose,1.67534e-05
array,1.4589e-05
arrow,7.59951e-06
arson,1.20455e-06
artsy,6.06881e-08
ascot,2.10384e-08
ashen,3.81612e-07
aside,3.4624e-05
askew,2.68498e-07
assay,6.26048e-06
asset,1.3441e-05
atoll,3.5704699999999995e-07
atone,7.28611e-07
attic,1.98938e-06
audio,6.5904699999999994e-06
audit,1.17189e-05
augur,2.77508e-07
aunty,8.8683e-08
avail,7.39821e-06
avert,1.94526e-06
avian,1.18544e-06
avoid,5.29267e-05
await,4.24418e-06
awake,7.1159e-06
award,2.7513e-05
aware,4.70741e-05
awash,3.93536e-07
awful,8.63522e-06
awoke,2.7216e-06
axial,6.89363e-06
axiom,1.6025899999999998e-06
axion,4.66e-08
azure,1.00838e-06
bacon,3.22868e-06
badge,2.4371e-06
badly,1.38886e-05
bagel,1.6145499999999999e-07
baggy,4.38191e-07
baker,1.48312e-06
baler,1.3187699999999998e-07
balmy,5.39111e-07
banal,5.974929999999999e-07
banjo,4.4640000000000003e-07
barge,3.45119e-06
baron,1.64081e-06
basal,1.00005e-05
basic,8.30123e-05
basil,7.63967e-07
basin,1.57181e-05
basis,0.000151921
baste,1.82053e-07
batch,5.60345e-06
bathe,1.3396399999999999e-06
baton,6.201929999999999e-07
batty,4.5758799999999995e-08
bawdy,3.33454e-07
bayou,3.6413199999999997e-07
beach,1.4335e-05
beady,1.77156e-07
beard,5.043899999999999e-06
beast,6.752379999999999e-06
beech,1.55861e-06
beefy,1.60338e-07
befit,1.18561e-07
began,0.000123159
begat,4.28199e-07
beget,5.86861e-07
begin,5.51033e-05
begun,2.84482e-05
being,0.000635729
belch,1.2741899999999998e-07
belie,3.60415e-07
belle,6.04762e-07
belly,5.99669e-06
below,0.000138217
bench,1.00002e-05
beret,1.90287e-07
berry,1.64009e-06
berth,1.76745e-06
beset,2.32363e-06
betel,4.1067999999999997e-07
bevel,9.61399e-07
bezel,1.18425e-07
bible,9.000690000000001e-07
bicep,9.580510000000001e-08
biddy,3.36582e-08
bigot,2.3676199999999999e-07
bilge,4.30187e-07
billy,2.2170299999999998e-07
binge,5.70195e-07
bingo,4.70549e-07
biome,1.42441e-07
birch,2.30414e-06
birth,4.0972e-05
bison,8.989929999999999e-07
bitty,6.856040000000001e-08
black,0.000115219
blade,1.08876e-05
blame,1.31298e-05
bland,1.21924e-06
blank,1.36951e-05
blare,1.77647e-07
blast,8.57415e-06
blaze,2.2928099999999997e-06
bleak,2.1166999999999996e-06
bleat,1.31461e-07
bleed,1.8550299999999998e-06
bleep,5.46277e-08
blend,4.969699999999999e-06
bless,5.5544099999999996e-06
blimp,8.599040000000001e-08
blind,2.07476e-05
blink,1.1645399999999999e-06
bliss,2.89758e-06
blitz,2.5842999999999997e-07
bloat,1.77089e-07
block,3.81226e-05
bloke,4.6741599999999993e-07
blond,2.61839e-06
blood,0.000111446
bloom,5.44744e-06
blown,7.06219e-06
bluer,1.50632e-07
bluff,2.12333e-06
blunt,3.6337e-06
blurb,1.55466e-07
blurt,1.7388699999999997e-07
blush,2.52834e-06
board,0.000114085
boast,3.90191e-06
bobby,1.31446e-07
boney,3.45674e-08
bongo,5.77882e-08
bonus,6.50128e-06
booby,3.22571e-07
boost,3.996869999999999e-06
booth,2.69475e-06
booty,1.20114e-06
booze,6.32269e-07
boozy,5.63373e-08
borax,8.27377e-07
borne,1.71749e-05
bosom,5.38203e-06
bossy,2.2002700000000002e-07
botch,7.49599e-08
bough,7.142899999999999e-07
boule,8.067550000000001e-08
bound,5.44713e-05
bowel,4.2515199999999996e-06
boxer,6.73582e-07
brace,2.02037e-06
braid,1.09824e-06
brain,4.25914e-05
brake,7.34178e-06
brand,1.26529e-05
brash,3.7310699999999995e-07
brass,1.03372e-05
brave,1.05699e-05
bravo,1.36136e-07
brawl,4.2511400000000003e-07
brawn,2.18501e-07
bread,2.27827e-05
